English,Sanskrit,Pali,Hindi,Urdu,Nepali,Bhojpuri,Punjabi,Saraiki,Sindhi,Gujarati,Marathi,Konkani,Assamese,Bengali,Odia,Kashmiri,Sinhalese,Dhivehi,Romani
straight,rju,ujju,sidha,sidha,sidha,sidha,siddha,siddha,sidho,sidhu,saral,saral,pun,soja,sidha,,kelin,sida,vorta
round,vrtta,gula,gol,gol,golo,gol,gol,gol,golu,gol,gol,golakar,gul,gol,golo,,wataya,vas,oblo
sharp ,tiksna,tikkha,tikha,tikha,tikho,tej',tez,tikkha,tikho,dhardar,tiksna,tikhat,suka,cokkha,tiksno,,tiyunu,tunu,kucime
dull ,kuntha,kuntha,kund,kund,bodho,bhothar,khundha,kaudan,muo,buththu,bothat,,bhuta,bhota,onthora,,mota,kosi,bikucime
smooth,slaksna,sanha,cikna,hamvar,samma,cikan,kula,barabar,laso,lisu,gulgulit,laghvi,mihi,mosrin,cikkono,,sinindu,oman,samtalo
wet,ardra,adda,gila,gila,gilo,bhinjal,bhijja,sinna,alo,bhinu,ole,ole,tita,bheja,oda,,tet,tet,kindyilo
dry,suska,sukkha,sukha,xusk,sukkha,sukhal,sukka,sukka,sukal,suku,korde,suke,xukan,sukona,sukhila,,wiyali,dahan'gu,shuko
correct,suddha,utu,sahi,thik,sahi,sahi,sahi,darust,sahi,sacu,barobar,sat,xuddho,thik,thiko,,niwaeradi,rangalu,uchito
near,neda,antika,pas,pas,najik,niyare,kol,nere,vejho,najik,javal,samip,usor,kache,nikoto,,asala,kairi,pashe
far,dura,dura,dur,dur,tadha,dur,dur,pare,pare,dur,dur,paysille,dur,dur,duro,,dura,duru,dur
right,daksina,dakhina,daya,daya,dahine,daya,sajja,sajja,sajo,jamnu,ujve,ujvo,xu,dan,dahano,,dakunu,kanai,chacho
left,savya,vama,baya,baya,bahine,baya,khabba,khabba,khabo,dabu,dave,davo,bau,ba,ba,,wama,vaatu,stungo
at,locative case,locative case,pe,pe,ma,par,utte,ute,te,e,locative and dative cases,cer,-t,-e,re,,locative case,gai-,kaj
in,locative case,antara,me,me,ma,me,vicca,ic,me,andar,madhye,bhitar,-t,-e,bhitore,,tula,zerey gay,anth-
with,saha,saha,ke sath,ke sath,sanga,ke sathe,nal,nal,sa,sathe,barobar,lagi,,-ro sathe,sange,,samaga,ekuga,-ca
and,ca,ca,aur,aur,ra,aur,ate,ate,ai,ane,ani,ani,aru,ar,au,,ha,ai,thaj
if,yadi,yadi,agar,agar,yadi,agar,je,je,jekaahin,jo,jar,jar,zodi,jodi,jodi,,nam,nama,te
because,hi,yavata,kyonki,kyunki,kinabhane,kaheki,kiunki,kiujo,chalai,karanke,karan ,lagun,karon,karon,karono,,nisa,ehenve,ke
name,naman,nama,nam,nam,nam,nav,na,na,nalo,nam,nav,nauva,nam,nam,namo,,nama,nan,anav
